DateAchat,CodeClient,NumeroCommande,NumeroLigneProduit,CodeProduit,IDMagasin,PrixVenteTTCHorsRemise,PrixVenteTTCAvecRemise,Quantite,Montant,Heure,CodeVendeur
2020-03-18 00:00:00,2307901,27227,1,100087,"10000",9.600000,1.146667,1,9.600000,1219.000000,8
2020-03-18 00:00:00,2307901,27227,2,100067,"10000",10.000000,1.200000,1,10.000000,1219.000000,8
2020-03-18 00:00:00,2307972,594,2,98871,"10000",22.666667,22.666667,1,22.666667,1409.000000,9
2020-03-18 00:00:00,2315351,27320,1,21425,"10000",18.933333,18.933333,1,18.933333,1713.000000,8
2020-03-18 00:00:00,2315486,27212,1,72754,"10000",101.733333,88.400000,1,101.733333,1059.000000,22
2020-03-18 00:00:00,2318931,27357,1,90113,"10000",35.200000,35.200000,1,35.200000,1903.000000,27
2020-03-18 00:00:00,2318931,27360,1,21451,"10000",36.000000,30.480000,1,36.000000,1907.000000,27
2020-03-18 00:00:00,2318931,27360,2,113853,"10000",7.466667,6.320000,1,7.466667,1907.000000,27
2020-03-18 00:00:00,2320918,27306,1,38598,"10000",46.800000,33.466667,1,46.800000,1628.000000,27
2020-03-18 00:00:00,2339790,27325,1,95048,"10000",79.600000,66.266667,1,79.600000,1734.000000,15
2020-03-18 00:00:00,2339809,27228,1,76425,"10000",17.333333,17.333333,1,17.333333,1217.000000,8
2020-03-18 00:00:00,2341937,27288,1,24115,"10000",105.866667,92.533333,1,105.866667,1609.000000,27
2020-03-18 00:00:00,2344674,578,1,94542,"10000",19.066667,19.066667,1,19.066667,1315.000000,27
2020-03-18 00:00:00,2346435,27345,1,5021,"10000",43.066667,43.066667,1,43.066667,1842.000000,15
2020-03-18 00:00:00,2346435,27346,1,100721,"10000",26.000000,16.000000,1,26.000000,1846.000000,15
2020-03-18 00:00:00,2350047,595,3,12741,"10000",12.533333,12.533333,1,12.533333,1412.000000,8
2020-03-18 00:00:00,2358776,27347,1,108094,"10000",33.600000,19.933333,1,33.600000,1858.000000,3
2020-03-18 00:00:00,2366087,568,1,50426,"10000",61.333333,48.000000,1,61.333333,1242.000000,27
2020-03-18 00:00:00,2371127,27262,1,114455,"10000",70.666667,64.040000,1,70.666667,1434.000000,27
2020-03-18 00:00:00,2371127,27262,3,91384,"10000",10.666667,9.666667,1,10.666667,1434.000000,27
2020-03-18 00:00:00,2458186,27264,1,51302,"10000",57.200000,55.133333,1,57.200000,1438.000000,28
2020-03-18 00:00:00,2458186,27264,2,52149,"10000",22.266667,21.466667,1,22.266667,1438.000000,28
2020-03-18 00:00:00,2458186,27264,3,52239,"10000",137.333333,132.373333,1,137.333333,1438.000000,28
2020-03-18 00:00:00,2458186,27264,4,51967,"10000",29.600000,28.533333,1,29.600000,1438.000000,28
2020-03-18 00:00:00,2458186,27264,5,114005,"10000",76.800000,74.026667,1,76.800000,1438.000000,28
2020-03-18 00:00:00,2466856,27333,1,114461,"10000",54.666667,54.666667,1,54.666667,1820.000000,27
2020-03-18 00:00:00,2473204,27250,1,114389,"10000",4.000000,4.000000,1,4.000000,1354.000000,8
2020-03-18 00:00:00,2473204,27250,2,114391,"10000",4.000000,4.000000,1,4.000000,1354.000000,8
2020-03-18 00:00:00,2473204,27250,3,114387,"10000",4.000000,4.000000,1,4.000000,1354.000000,8
2020-03-18 00:00:00,2473204,27250,4,114386,"10000",4.000000,4.000000,1,4.000000,1354.000000,8
2020-03-18 00:00:00,2473204,27250,5,71358,"10000",8.266667,8.266667,1,8.266667,1354.000000,8
2020-03-18 00:00:00,2486773,27276,2,59438,"10000",40.666667,33.426667,1,40.666667,1533.000000,3
